COMPANY,LESS_FIN_EXP,LESS_GERL_ADMIN_EXP,LESS_NON_OPER_EXP,LESS_OPER_COST,LESS_SELLING_DIST_EXP,OPER_PROFIT,PLUS_NON_OPER_REV,TOT_OPER_REV,TOT_PROFIT,ACCT_PAYABLE,ACCT_RCV,ADV_FROM_CUST,BONDS_PAYABLE,CONST_IN_PROG,DVD_RCV,FIN_ASSETS_AVAIL_FOR_SALE,FIX_ASSETS,INT_RCV,INVEST_REAL_ESTATE,LT_BORROW,LT_PAYABLE,MONETARY_CAP,NON_CUR_LIAB_DUE_WITHIN_1Y,NOTES_PAYABLE,NOTES_RCV,OIL_AND_NATURAL_GAS_ASSETS,OTH_PAYABLE,OTH_RCV,PRODUCTIVE_BIO_ASSETS,PROJ_MATL,ST_BORROW,TOT_ASSETS,TOT_CUR_ASSETS,TOT_CUR_LIAB,TOT_LIAB,TRADABLE_FIN_ASSETS,AMORT_INTANG_ASSETS,DEPR_FA_COGA_DPBA,NET_CASH_FLOWS_FNC_ACT,NET_CASH_FLOWS_INV_ACT,NET_CASH_FLOWS_OPER_ACT,free_cash_flow
502040060,21691595.77,9209867.88,1070425.53,100916029.6,66852693.91,36251363.5,2528779.97,244403493,37709717.94,79467782.19,6496581.41,2535941.48,,79968511.26,,,538145997.7,,180212569.4,435000000,149908674.9,15010559.13,34422433.4,,,,322228064.1,662056324.7,,,170000000,1538947616,690642515.8,619283057.2,1304416073,,1966693.38,59848497.83,188248859.1,-190611447,-49941549.26,-123170902.4
x8ewlWoMoU,67517805.69,3425843.27,,1166654.62,,183906275.2,32669465,256893404,216575740.2,130942677,112647100,11060000,,364274573.2,,,4387555250,,,949200000,391597964.4,122062433.2,,,,,2759786836,39619572.93,,,70000000,7867961040,2866099068,2983794629,4324592593,,,1001790.64,-252243972.7,-226353312.8,518130347.5,424142264.4
HKw4bUb4El,11928649.73,157726025.6,582477.76,620411932.7,121226311.3,94242491.19,17680587.8,1008426565,111340601.2,238241411.3,132575843.9,143079164.4,,97009329.69,,16573619.6,312495217.3,,30614590.82,14400000,20000000,283138929.9,2800000,92991158.2,1113122.52,,134487073.5,251528321.7,,,212600000,1726153593,874928727.8,832785945.2,870952878,,6244273.97,18812048.51,-14368777.29,-104217631.2,-8323666.87,14966573.58
1000831,95915471.39,124106189.8,1176165.32,4030206503,47940177.81,-2881174.16,17386807.88,4295090179,13329468.4,79859940.79,61288561.04,22546337.64,,66126937.54,,,562575666.9,,,,,150240885.9,900000000,,53442974.74,,7748206.19,474902.11,,,801000000,1938625915,579205030.8,1877277236,1915490993,,1326028.23,78583465.18,65034181.05,-3120030.78,-58733309.87,1022963165
6uVhxIEMsl,-407720.92,6207731.65,,884433928.9,,65879088.62,143900000,955531331.5,209779088.6,,459773857.4,,,15834202.52,,,900697.86,,,35000000,,337528569.4,37000000,,,,921051088.1,84479508.28,,,,6242666491,5850367785,988353933.2,1024383933,,1039960.43,431271.98,10687733.54,-3854594.5,179726412.2,-4672034124
0D889F1E58,220555294.9,2780217283,30782139.46,16118317369,202843024.5,975566638.5,68058479.59,20907381245,1012842979,4042946022,1387596681,862200592.9,2579330770,3123707396,,305541723.6,12516292091,10199075.17,216223036.6,3264838429,3711808038,4950622470,350410000,584803189.2,1838536735,,4836400814,330602929.7,,175867776.6,919400000,35686782386,11670231177,14479076080,24614711106,,104469796.8,1083228512,2668094896,-4149268608,2681592176,-1068472945
157A84,123140262.1,378548276.4,4232863.63,3027493425,90479364.29,142471122.8,452683808,3661098966,590922067.2,1328204413,1557432409,243557150,790610536.3,821941759.3,,187414207.4,3478464110,165665.49,442804840,2053336810,69938472.52,1209326779,342500000,167253875,1008684126,,2572498169,1850976948,,881620,2794421540,17942801017,9088655516,8086527466,11148058162,,9311039.61,140975594,-849153227.4,-364179958.1,1291204712,-100167232.2
1600667,115916150.6,128667269.5,571018.98,2853916977,21385571.02,174500363.7,40347209.97,3295249910,214276554.7,364097110.8,410076139,8413987.13,,148505481.6,,5667200,2991088929,,,1123012250,300000000,790204113.7,385924500,65427268.78,119210231.3,,31058106.61,32861486.06,,,1278023223,5148014352,1806563797,2161865126,3592823448,,6225162.82,529456330.1,517692577.5,-939897990,559693181.6,72393396.02
16160A,,,,,,,,72000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4JRD6DFE67,-4492557.65,34136513.46,100274.12,406889752.7,10975162.21,21961976.25,3463651.7,471577694.9,25325353.83,72127897.47,78713691.36,3766869.24,,474287.76,,,58388612.77,,,,,291295312.5,,,706011.6,,2113468.53,5476435.24,,,,597078930.9,497906106,63346243.97,63346243.97,,536650.73,2265106.01,-7232844.5,-49829133.76,-13158119.27,-64108790.18
710578501,-7647852.93,6487152.56,10745.92,606732505,13204219.78,-4695891.83,243578995,598873434.5,238872357.3,4498133.25,819978400.8,664194.45,,58509333.82,,,154815198.9,,,2157639000,1300000,80830849.7,,,,,91593212.89,1792742012,,,,6526673717,6193646893,102592665.3,2331231965,,,16750008.03,-209780.33,-8179285.71,-2459250.32,-2254873836
TJA9A96ljJ,439240.32,15134350.51,107705.39,94259291.7,6882386.11,35929881.28,2497425,153540640.8,38319600.89,18355334.05,30650149.72,921776.31,,28111507.78,,,45686025.08,,,,,24326126.51,,13500000,8286554.09,,431736.79,2383477.31,,930190.64,2000000,179190907,90815092.6,42315821.38,44815821.38,,205021.06,3311974.94,-6023750.2,-53701608.68,25252061.66,
9T8M5FAKRJ,-471728.05,20205923.27,213050,616705056.6,257386,-35479627.8,150334009,605929603.3,114641331.2,8002771.16,36423784.07,75435222.76,,857600197.9,,,725812879.6,,,1494800000,,47061937.17,,,,,1058361782,2016050336,,,50000000,11073626442,3253366952,1197193320,2691993320,,2960,660983.63,-220972119.5,95916251.9,144712514.5,190034704.4
QjbsMHA6xc,-20754.33,19974,,,,780.33,,,780.33,,,,,,,,500837720,,,,,109600780.3,,,,,110800000,61200000,,,50000000,671638500.3,170800780.3,160800000,160800000,,,,170800000,-61200000,780.33,-10020754.33
zqMLqmFBZB,15983775.79,14791298.76,17736.74,866271134.4,,258967015.6,,1172923635,258949278.9,66747970.22,1930836648,,,,,,570340.73,,,547680000,,101898576.7,248000000,,,,263374827.6,1249787970,,,20000000,5849366876,5848696535,734781534.7,1282461535,,,191311.27,-242397166.7,-85210,316257734.2,-580508059.5
0xT5ABA359,743008959.8,136608122.6,1021422.82,1321401125,507469.8,630493224.8,865147.16,2904457440,630336949.1,46127026.4,202381356.9,3913396.72,,59871190930,,,14476908647,,2285933.4,47208188282,1294094219,1766888358,5396012891,922901293,95250000,,3562230256,1398208849,,66135171.38,8057788688,79747857548,4925116294,18208255805,66783694409,,6716274.48,977076731.7,12041487407,-12904024062,2385475096,-7125858652
1600169,108006234.1,435975733.3,12978339.08,8949269893,335591727.7,370715402.8,47473554.19,10325961715,405210617.9,7231898551,7831019655,592611863,,2802907735,,,1379542997,,,1160170000,,2254308507,450000000,1172857768,609007466.4,,299844680.5,86173903.86,,,1630917410,18715539062,14294348864,11647607405,13000989222,,2116188.2,171810979.3,1248871512,-2108431342,27473098.66,-57437691.73
rMrkXGcC9f,15903581.37,32344276.35,110245.77,384915003,35526883.54,3289628.8,3873635.45,475816628.5,7053018.48,22767608.77,73892913.19,5174845.06,,515554472.3,,,173046744.2,,,247000000,,87155871.96,,,22886141.1,,33621882.45,9082619.09,,2845710.31,362604929.2,1230308405,468897427.9,399761356.4,653646356.4,,1454673.45,16514947.8,378640884.8,-268698057.9,-136583531.6,-231722238.9
